chapter,question_number,question_text,option_a,option_b,option_c,option_d,correct_answer,explanation
AirLaw,229,Except in some special cases the establishment of change-over points should be limited to route segments of,60 NM or more,75 NM or more,50 NM or more,100 NM or more,A,"Except under special operational circumstances, the establishment of VOR change-over points (COPs) should be restricted to route segments of 60 nautical miles (NM) or more. COPs define the point along a route where the pilot should switch navigation reference from the departing station to the receiving station ahead. This prevents signal interference and ensures reliable track guidance."
AirLaw,230,Required Navigation Performance (RNP) shall be prescribed,by states on the basis of regional air navigation agreements,by states but not on the basis of regional air agreements,by ICAO on the basis of regional air navigation agreements,by regional air navigation agreements,A,Required Navigation Performance (RNP) specifications are prescribed by States on the basis of regional air navigation agreements. These agreements ensure that navigation standards are consistent across international routes and regions. RNP requirements are published in national Aeronautical Information Publications (AIPs).
AirLaw,231,What is the speed limit (IAS) in airspace class E?,250 kt for IFR and VFR UP TO FL 100,250 kt only for VFR up to FL 195,"250 kt VFR and IFR, all levels",250 kt only for IFR up to FL 100,A,"In Class E airspace, the indicated airspeed (IAS) speed limit for both IFR and VFR flights operating below FL 100 is 250 knots. This speed limit is set to ensure that aircraft have sufficient time to see and avoid each other in airspace where uncontrolled VFR traffic is present. Above FL 100, this speed restriction is not applicable."
AirLaw,232,"The speed limitation for IFR flights inside ATS airspace classified as C, when flying below 3.050 m (10.000 ft) AMSL, is :",Not applicable,250 KT IAS,250 KT TAS,240 KT IAS,A,"For IFR flights operating inside Class C airspace below 10,000 feet AMSL, the standard 250-knot speed limit is not applicable. In Class C airspace, ATC provides separation between IFR and VFR flights, and since IFR flights are separated, they are not subject to a speed restriction unless advised by ATC. VFR flights in Class C, however, remain subject to the 250-knot limit."
AirLaw,233,"The speed limitation for VFR flights inside ATS airspace classified as C, when flying below 3.050 m (10.000 ft) AMSL, is :",250 KT IAS,250 KT TAS,Not applicable,240 KT IAS,A,"For VFR flights operating inside Class C airspace below 10,000 feet AMSL, the maximum indicated airspeed (IAS) is restricted to 250 knots. This speed limit ensures that visual pilots have adequate reaction time to see and avoid other visual traffic, which are not separated from each other by ATC. It also helps controllers manage traffic flow in the terminal area."
AirLaw,234,"The speed limitation for IFR flights inside ATS airspace classified as E, when flying below 3.050 m (10.000 ft) AMSL, is :",250 KT IAS,250 KT TAS,Not applicable,260 KT IAS,A,"For IFR flights operating inside Class E airspace below 10,000 feet AMSL, the maximum indicated airspeed (IAS) is limited to 250 knots. Since Class E contains uncontrolled VFR flights that do not communicate with ATC, this speed limit is necessary to give all pilots sufficient time to see and avoid conflicting traffic. It is a key safety rule in mixed-traffic airspace."
AirLaw,235,"The speed limitation for both IFR flights and VFR flights inside ATS airspace classified as B, when flying below 3.050 m (10.000 ft) AMLS, is :",Not applicable,250 KT IAS,250 KT TAS,260 KT IAS,A,"In Class B airspace, the 250-knot speed limit below 10,000 feet AMSL is not applicable to either IFR or VFR flights. Because Class B airspace features full air traffic control service and separation between all flights (IFR/IFR, IFR/VFR, and VFR/VFR), there is no safety requirement for a general speed limit. Controllers can adjust speeds individually if necessary for sequencing."
AirLaw,236,"Where an upper flight information region (UIR) is established, the procedures applicable there in :",need not to be identical with those applicable in the underlying flight information region,has to be the same as the underlying flight information region,have to be as indicated by ICAO council,have to be as agreed at the regional air navigation meetings,A,"Where an Upper Flight Information Region (UIR) is established, the operational procedures and services provided within it do not need to be identical to those in the underlying FIR. UIR boundaries and rules are designed to facilitate high-altitude en-route traffic, which often spans multiple domestic sectors. This allows for simplified routing and larger control sectors."
AirLaw,237,"The VMC minima for a VFR flight inside an ATS airspace classified as B, is :",8 km visibility when at or above 3050 m (10.000 ft) AMSL and clear of clouds,"8 km visibility when at or above 3050 m (10.000 ft) AMSL, and 1500 m horizontal and 300 m vertical from clouds","5 NM visibility below 3050 m (10.000 ft) AMSL, clear of clouds","5 NM visibility when below 3050 m (10.000 ft) AMSL, 1500 m horizontal and 300 m vertical from cloud",A,"In Class B airspace at or above 10,000 feet AMSL, the visual meteorological conditions (VMC) minima require a flight visibility of at least 8 km. Additionally, because Class B is a highly controlled airspace with full separation, the pilot is only required to remain clear of clouds rather than maintaining specific distance buffers. Below 10,000 feet, the visibility minimum is reduced to 5 km."
AirLaw,238,A VFR flight when flying inside an ATS airspace classified as B has to maintain the following minima of flight visibility and distance from clouds,5 km below 3050 m (10.000 ft) AMSL and clear of clouds,5 km below 3050 m (10.000 ft) AMS 1.500 m horizontal and 300 m vertical from clouds,"8 km below 3050 m (10.000 ft) AMSL, 1 500 m horizontal and 300 m vertical from clouds","5 km visibility, 1500 m horizontal and 300 m vertical from clouds",A,"A VFR flight operating inside Class B airspace below 10,000 feet AMSL must maintain a flight visibility of at least 5 km and remain clear of clouds. In Class B airspace, VFR flights are fully separated from all other traffic by ATC, which eliminates the need for standard cloud distance buffers (e.g. 1,500m horizontally). The pilot must still keep the surface in sight."
AirLaw,239,A VFR flight when flying inside an ATS airspace classified as C has to maintain the following minima of flight visibility and distance from clouds,8 km at or above 3050 m (10.000 ft) AMSL 1500 m horizontal and 300 m vertical from clouds,5km at or above 3050 m (10.000 ft) AMSL 1500 m horizontal and 300 m vertical from clouds,"5 NM at or above 3050 m (10.000 ft) AMSL, 1500 m horizontal and 300 m vertical from clouds","8 km at or above 3050 m (10.000 ft) AMSL, and clear of clouds",A,"In Class C airspace at or above 10,000 feet AMSL, a VFR flight must maintain a flight visibility of at least 8 km. The pilot must also remain at least 1,500 meters horizontally and 300 meters (1,000 feet) vertically clear of clouds. These visual margins prevent visual flights from encountering instrument traffic exiting cloud layers at high speeds."
AirLaw,240,"An ATS airspace where IFR and VFR flights are permitted, all flights are subject to air traffic control service and IFR flights are separated from other IFR flights and from VFR flights VFR flights are separated from IFR flights and receive traffic information in respect of other VFR flights, is classified as :",Airspace C,Airspace D,Airspace E,Airspace B,A,"In Class C airspace, both IFR and VFR flights are permitted, and all flights are subject to air traffic control service. IFR flights are separated from other IFR flights and from all VFR flights, while VFR flights are separated from IFR flights and receive traffic information about other VFR flights. This airspace class is common in busy terminal areas."
AirLaw,241,"An ATS airspace where IFR and VFR flights are permitted, all flights are subject to air traffic control service and are separated from each other is classified as",Airspace B,Airspace C,Airspace D,Airspace E,A,"In Class B airspace, both IFR and VFR flights are permitted, and all flights are subject to ATC service. The defining characteristic of Class B is that ATC separates all flights from each other (IFR from IFR, IFR from VFR, and VFR from VFR). This provides the highest level of control and is used in the busiest terminal zones."
AirLaw,242,"An ATS airspace where IFR and VFR flights are permitted and all flights are subject to air traffic control service. IFR flights are separated from other IFR flights and receive traffic information in respect of VFR flights. VFR flights receive traffic information in respect of all other flights, is classified as :",Airspace D,Airspace B,Airspace E,Airspace A,A,"In Class D airspace, both IFR and VFR flights are permitted and subject to ATC service. However, ATC only separates IFR flights from other IFR flights. IFR flights receive traffic information in respect of VFR flights, and VFR flights receive traffic information about all other flights. Both must maintain their own visual separation."
AirLaw,243,"An ATS airspace where IFR and VFR are permitted IFR flights are subject to Air Trafic Control Service and are separated from other IFR flights. All flights receive traffic information as far as is practical, is classified as",Airspace E,Airspace D,Airspace B,Airspace A,A,"In Class E airspace, both IFR and VFR flights are permitted, but only IFR flights are subject to ATC service and separated from other IFR flights. VFR flights do not require clearance or radio contact. All flights receive traffic information as far as is practical to assist in see-and-avoid separation."
AirLaw,244,"An ATS airspace where IFR and VFR flights are permitted, all participating IFR flights receive an air traffic advisory service and all flights receive flight information service if requested, is classified",Airspace F,Airspace G,Airspace E,Airspace D,A,"In Class F airspace, both IFR and VFR flights are permitted. Participating IFR flights receive an air traffic advisory service, which provides advice on avoiding traffic rather than formal clearances. All flights receive flight information service if requested. Class F is a transitional class and is rarely used today."
AirLaw,245,"An ATS airspace where IFR and VFR are permitted and receive flight information service if requested, is classified as",Airspace G,Airspace F,Airspace C,Airspace E,A,"Class G airspace is completely uncontrolled airspace where both IFR and VFR flights are permitted. No air traffic control or advisory services are provided; flights receive only flight information service if requested. Pilots are entirely responsible for their own navigation, obstacle clearance, and collision avoidance."
AirLaw,246,Area Control Centres issue clearances for the purpose of:,Achieving separation between controlled flights,Achieving separation between IFR flights,Providing flight Information Service,Providing advisory service,A,"Area Control Centers (ACCs) issue air traffic control clearances for the purpose of achieving separation between controlled flights. Clearances are binding instructions that specify the routing, altitude, and limits of the flight. ACCs do not issue clearances to uncontrolled flights, which operate under information rules."
AirLaw,247,Clearances will be issued by an ATC unit for the purpose of:,Achieving separation between controlled flights,Providing flight Information Service,Providing advisory services,Providing alerting services,A,Air Traffic Control (ATC) units issue clearances to controlled flights primarily to achieve and maintain safe separation between them. A clearance is an authorization for an aircraft to proceed under specified conditions within controlled airspace. It is designed to prevent collisions and expedite traffic flow.
AirLaw,248,You receive an IFR enroute clearance stating: Clearence expires at 0920. What does it mean ?,"If not airborne until 0920, a new clearence has to be issued",Do not take off before 0920,The take off clearence is expected at 0920,After 0920 return to the ramp and file a new flight plan,A,"An IFR clearance with a void time, such as 'Clearance expires at 0920', means that if the aircraft is not airborne by 0920, the clearance is automatically canceled. The pilot must not take off and must obtain a new clearance from ATC. This prevents conflicts with other traffic that may have been cleared after the expiration time."
AirLaw,249,"The longitudinal separation minima based on time between aircraft at same cruising level where navigation aids permit frequent determination of position and speed, is:",10 minutes.,5 minutes.,15 minutes.,3 minutes.,A,The standard longitudinal separation minimum based on time between aircraft at the same cruising level is 10 minutes. This minimum applies where navigation aids permit frequent determination of position and speed. It provides a safe distance buffer to account for minor variations in speed and wind.
AirLaw,250,"The longitudinal separation minima based on time between aircraft at same cruising level where navigation aids permit frequent determination of position and speed and the preceding aircraft is maintaining a true airspeed of 20 kt or more faster than the succeeding aircraft, is:",5 minutes.,3 minutes.,10 minutes.,15 minutes.,A,"The longitudinal separation minimum between two aircraft at the same cruising level can be reduced to 5 minutes if the preceding aircraft is maintaining a true airspeed (TAS) that is 20 knots or more faster than the succeeding aircraft. Since the leading aircraft is faster, the distance between them will increase, allowing for a smaller initial time buffer."
AirLaw,251,"The longitudinal separation minima based on time between aircraft at same cruising level where navigation aids permit frequent determination of position and speed and the preceding aircraft is maintaining a true airspeed of 40 kt or more faster than the succeeding aircraft, is:",3 minutes.,5 minutes.,6 minutes.,10 minutes.,A,"If the preceding aircraft is maintaining a true airspeed (TAS) that is 40 knots or more faster than the succeeding aircraft at the same cruising level, the longitudinal separation minimum can be reduced to 3 minutes. The significant speed differential ensures that the distance between the two aircraft will increase over time. This standard requires that both aircraft use navigation aids that permit frequent position checks."
AirLaw,252,"The longitudinal separation minima between aircraft departed from the same aerodrome and following the same track, and the preceeding aircraft is maintaining a true airspeed of 20 kt or more faster than the succeeding aircraft, is:",5 minutes.,3 minutes.,10 minutes.,2 minutes.,A,"For departing aircraft following the same track from the same aerodrome, the minimum longitudinal separation is 5 minutes if the preceding aircraft is maintaining a true airspeed (TAS) of 20 knots or more faster than the succeeding aircraft. This speed difference prevents the trailing aircraft from catching up during the initial climb. If the speed difference is smaller, a larger separation interval must be applied."
AirLaw,253,"The longitudinal separation minima between aircraft departed from the same aerodrome and following the same track, and the preceeding aircraft is maintaining a true airspeed of 40 kt or more faster than the succeeding aircraft, is:",3 minutes.,5 minutes.,10 minutes.,8 minutes.,A,"When two aircraft depart from the same aerodrome and follow the same track, the longitudinal separation minimum can be reduced to 3 minutes if the preceding aircraft is maintaining a true airspeed (TAS) of 40 knots or more faster than the succeeding aircraft. The large speed difference ensures that the separation distance will increase immediately after takeoff. This reduction helps increase the departure capacity of the runway."
AirLaw,254,"When an aircraft will pass through the level of another aircraft on the same track, the following minimum longitudinal separation shall be provided:",15 minutes at the time the level is crossed.,10 minutes at the time the level is crossed.,5 minutes at the time the level is crossed.,20 minutes at the time the level is crossed.,A,"When an aircraft is cleared to climb or descend through the flight level of another aircraft on the same track, a minimum longitudinal separation of 15 minutes must be provided at the time the level is crossed. This time buffer is required to account for variations in climb/descent rates and wind drift, preventing loss of separation. If position reports are frequent, this minimum can sometimes be reduced."
AirLaw,255,"The longitudinal separation minima based on distance using DME, and each aircraft """"on track"""" uses DME stations, is:",20 NM.,10 NM.,5 NM.,20 NM when the leading aircraft maintains a true airspeed of 20 kt or more faster than the succeding aircraft.,A,"When using DME-based distance separation on the same track, the standard longitudinal separation minimum between aircraft is 20 NM. This requires both aircraft to be established on track and using the same DME station to report distance. This DME-based separation provides controllers with an alternative to time-based separation, improving airspace efficiency."
AirLaw,256,An aircraft is maintaining FL 150 within airspace class C. Another aircraft below at FL 140 is receiving a clearance to descend to FL 70. It is severe turbulence in the area. When is the earliest that a clearance to descend to FL 140 or below can be expected ?,When the other aircraft has reported that it has descended through FL 130,When the other aircraft has reported that it has left FL 140,When the other aircraft has reported that it has reached FL 70,When the other aircraft has reported that it has left FL 120,A,"In conditions of severe turbulence, vertical separation standards are critical for flight safety. If one aircraft is at FL 150 and a lower aircraft at FL 140 is cleared to descend to FL 70, the upper aircraft cannot be cleared to descend to FL 140 until the lower aircraft has reported descending through FL 130. This ensures a minimum vertical buffer of 1,000 feet is maintained while the lower aircraft is in transit, accounting for turbulence-induced altitude excursions."
AirLaw,257,What is the shortest distance in a sequence for landing between a 'Heavy' aircraft preceding a 'Light' aircraft,6 NM,3 NM,2 km,10 km,A,"To prevent wake turbulence accidents during landing, a minimum radar separation of 6 NM must be maintained when a 'Light' aircraft (maximum take-off mass of 7,000 kg or less) is following a 'Heavy' aircraft (136,000 kg or more). Heavy aircraft generate powerful wingtip vortices that can cause loss of control for smaller aircraft. ATC is responsible for applying these wake turbulence separation minima."
AirLaw,258,When are ATIS broadcasts updated ?,"Upon receipt of any official weather, regardless of content change or reported values","Every 30 minutes if weather conditions are below those for VFR , otherwise hourly",Only when weather conditions change enough to require a change in the active runway or instrument approach in use,Only when the ceiling and/or visibility changes by a reportable value,A,"ATIS broadcasts must be updated immediately upon receipt of any official meteorological report, regardless of whether the weather parameters or runway info have changed. This ensures that pilots always receive the most current official data for their flight planning. Each updated broadcast is assigned a new alphabetical designator (from A to Z) to identify the version."
AirLaw,259,"The ATIS broadcast message should, whenever practicable, not exceed",30 seconds,1 minute,2 minutes,3 minutes,A,"To avoid pilot fatigue and frequency congestion, an ATIS broadcast message should, whenever practicable, not exceed 30 seconds in duration. The information should be kept concise and limited to essential operational details such as active runway, approach type, and key weather observations. If the message is too long, it can delay aircraft pre-flight checklists."
AirLaw,260,"Whenever ATIS is provided, the broadcast information shall be updated",immediately a significant change occurs,at least every half an hour independently of any significant change,as prescribed by the meteorological office,as prescribed by the state,A,"Whenever ATIS is provided, the broadcast information must be updated immediately when a significant operational or meteorological change occurs. Significant changes include shifts in wind direction, drops in visibility, changes in cloud ceiling, or changes in the active runway. Keeping the ATIS updated is vital for arriving and departing aircraft safety."
AirLaw,261,"Whenever ATIS is provided, the preparation and dissemination of the ATIS message shall be the responsability of",the air traffic services,the meteorological office serving the aerodrome (s),both air traffic services and the meteorological office,the unit as prescribed the states,A,"The preparation and dissemination of the Automatic Terminal Information Service (ATIS) message is the direct responsibility of the Air Traffic Services (ATS) unit. Although the meteorological office provides the weather data, the ATS unit compiles the message, adds operational runway/approach details, and manages the transmission. This ensures that the message is formatted correctly for pilot use."
AirLaw,262,ATIS broadcast,shall not be transmitted on the voice channel of an ILS,"Shall be transmitted on the voice channel of an ILS, on a discrete VHF frequency or on the voice channel of a VOR",Shall not be transmitted on the voice of a VOR,Shall only be transmitted on a discrete VHF frequency,A,"ATIS broadcasts must not be transmitted on the voice channel of an Instrument Landing System (ILS). The ILS voice channel is reserved for critical identification and approach instructions, and broadcasting ATIS on it could interfere with these signals. ATIS is instead transmitted on a discrete VHF frequency or on the voice channel of a local VOR."
AirLaw,263,Flight Information Service shall be provided to aircraft in order to avoid collision hazards when operating in airspace classes :,"C, D, E, F, and G",F and G only,"A, B, C, D, E, F and G",F only,A,"Flight Information Service (FIS) is provided to all aircraft operating in airspace classes C, D, E, F, and G to advise them of potential collision hazards. In these airspaces, IFR flights are not fully separated from VFR flights, or VFR flights are not separated from each other. The provision of traffic information helps pilots maintain situational awareness and apply see-and-avoid techniques."
AirLaw,264,Flight information service provided to flights shall include the provision of information concerning collision hazards to aircraft operating in airspace classes:,C to G (inclusive),A to G (inclusive),A to E (inclusive),F and G,A,"Flight Information Service (FIS) includes the provision of information concerning collision hazards to all aircraft operating in airspace classes C to G (inclusive). In these classes, visual flights are permitted and are either not separated from each other or not separated from instrument flights. FIS is a critical tool for pilots to see and avoid other traffic in mixed-traffic airspace."
AirLaw,265,"ATIS broadcast messages containing departure and arrival information should include cloud cover, when the clouds are :","below 1 500 m (5.000 ft) or below the highest minimum sector altitude, whichever is the greater","below 900 m (3.000 ft) or below the highest minimum sector altitude, whichever is the greater","below 2 000 m (600 ft) or below the highest minimum sector altitude, whichever is the greater",cumulonimbus,A,"ATIS broadcasts containing arrival and departure information must include cloud cover details when the cloud base is below 1,500 meters (5,000 feet) or below the highest minimum sector altitude (MSA), whichever is greater. It must also include cloud details if there are cumulonimbus clouds present. This threshold ensures pilots are warned of low ceilings that could impact visual approaches or missed approaches."
AirLaw,266,"When it becomes apparent that an aircraft is in difficulty, the decision to initiate the alert phases is the responsibility of the:",operational air traffic control centres,flight information or control organisations,air traffic co-ordination services,search and rescue co-ordination centres,A,"When it becomes apparent that an aircraft is in difficulty, the operational Air Traffic Control (ATC) center has the responsibility to initiate the appropriate alerting phases. There are three alerting phases: Uncertainty (INCERFA), Alert (ALERFA), and Distress (DETRESFA). ATC initiates these phases to coordinate search and rescue services based on the severity of the situation."
AirLaw,267,The Alerting Service is provided by:,The ATS unit responsible for the aircraft at that moment.,"The ATC unit responsible for the aircraft at that moment, when it is provided with 121.5 MHz.",Only by ATC units.,The Area Control Centres.,A,"The Alerting Service is provided by the ATS unit that is responsible for the aircraft at that moment. The unit monitors the flight's progress and communications, and triggers emergency phases if the aircraft fails to report or indicates an issue. This service is provided to all controlled flights and, as far as practical, to all other flights that have filed a flight plan."
AirLaw,268,The phases related to an aircraft in emergency or believed in emergency are:,"uncertainty phase, alert phase, distress phase.","uncertainty phase, urgency phase, distress phase.","uncertainty phase, distress phase, urgency phase.","uncertainty phase, alert phase, distress phase and urgency phase.",A,"The three emergency phases established for an aircraft in or believed to be in emergency are: the uncertainty phase (INCERFA), the alert phase (ALERFA), and the distress phase (DETRESFA). INCERFA is declared when there is doubt about safety; ALERFA is declared when there is apprehension; and DETRESFA is declared when there is reasonable certainty of grave danger. These phases guide the response of search and rescue services."
AirLaw,269,"A radio communications, """"Distress"""" differs from """"Urgency"""" because in the first case:",There is a serious and imminent danger requiring immediate assistance.,The aeroplane has suffered damages which impair its fitness to fly.,The aeroplane will not be able to reach a suitable aerodrome.,The aeroplane or a passenger's safety require the flight immediately interrupted.,A,"In radiotelephony, a 'Distress' condition (indicated by the signal MAYDAY) differs from an 'Urgency' condition (indicated by the signal PAN PAN) because distress indicates a serious and imminent danger that requires immediate assistance. Urgency indicates a condition concerning the safety of an aircraft, vehicle, or person that does not require immediate assistance. Distress calls take absolute priority over all other communications."
AirLaw,270,Which of the following statements regarding Alerting service is correct?,Alerting Service and Flight Information Service are often provided by the same ATS unit,"The Alert phase is established when no communication has been received from an aircraft within a period of thirty minutes after the time a communication should have been received,",The distress phase is established when an aircraft is known or believed th be the subject of unlawful interference,"Aircraft in the vicinity of an aircraft known or believed to be the subject of unlawful interference, shall be informed about this,",A,"Alerting Service and Flight Information Service are closely related and are often provided by the same ATS unit, such as a Flight Information Center (FIC) or an Area Control Center (ACC). Alerting service notifies search and rescue agencies of aircraft in need of assistance. Flight information service provides meteorological and traffic updates to ensure safe flight conduction."
AirLaw,271,"When an aircraft is experiencing difficulties, triggering of the alert phase is the responsibility of:",air traffic control and flight information centers.,search and rescue coordination centres.,air traffic coordination centres.,control centres only.,A,Triggering the emergency alerting phases for an aircraft experiencing difficulties is the responsibility of Air Traffic Control (ATC) units and Flight Information Centers (FICs). They evaluate communication gaps or emergency declarations and notify search and rescue coordination centers. FICs and ATC units act as the primary liaison between the aircraft and rescue services.
AirLaw,272,Alert phase is defined as follows:,A situation where an apprehension exists as to the safety of an aircraft and its occupants.,An emergency event in which an aircraft and its occupants are considered to be threatened by a danger.,A situation related to an aircraft and its occupants are considered to be in a state of emergency.,A situation related to an aircraft which reports that the fuel on board is exhausted.,A,"The Alert Phase (ALERFA) is defined as a situation where apprehension exists as to the safety of an aircraft and its occupants. It is typically declared when an aircraft has failed to communicate within 30 minutes of its last expected report, or when information indicates that the aircraft's efficiency is impaired but not to the extent of a distress situation."
AirLaw,273,"When on a RNP 1 route is indicated A342 Z, means that all turns shall be made within the allowable RNP tolerance of a tangential arc between the straight leg segments with a radius of :",15 NM on the route between 30° and 90° at and below FL 190,15 NM on the route between 30° and 90° at and above FL 200,22.5 NM on the route between 30° and 90° at and above FL 250,25 NM on the route between 30° and 90° at and below FL190,A,"On a published RNP 1 route, the indicator 'A342 Z' specifies the requirements for turn design. It means that all turns must be made within the allowable RNP tolerance of a tangential arc between straight leg segments, defined with a turn radius of 15 NM on route segments between 30 and 90 degrees at and below FL 190. This standardized radius ensures aircraft remain within the narrow RNP 1 lateral boundaries during turns."
AirLaw,274,"When on a RNP 1 route is indicated B235 Y, means that all turns shall be made within the allowable RNP tolerance of a tangential arc between the straight leg segments defined with a radius of :",22.5 NM between 30° and 90° at and above FL200,25.0 NM on the route between 30° and 90° at and above FL 250,22.5 NM between 30° and 90° at and above FL260,20 NM on the route between 30° and 90° at and above FL200,A,"On a published RNP 1 route, the indicator 'B235 Y' signifies that all turns must be made within the allowable RNP tolerance of a tangential arc, defined with a turn radius of 22.5 NM for turn angles between 30 and 90 degrees at and above FL 200. The larger radius at higher flight levels accounts for the higher true airspeeds and larger turn dimensions of aircraft at high altitude."
AirLaw,275,The rule governing flight over water for a single engined aeroplane engaged in the public transport of passengers:,limits such flight to a height sufficient to land safely if the engine fails.,does not permit such flight in any circumstances.,limits flight to up to 10 minutes flying time from the nearest shore.,limits flight to up to 8 NM from the nearest shore.,A,"For a single-engined aeroplane engaged in public transport, flights over water are restricted to a height that allows the aircraft to glide to a safe landing on land in the event of an engine failure. This altitude limitation is a critical safety rule designed to prevent ditching in water. The exact distance is determined by the aircraft's glide ratio and wind conditions."
AirLaw,276,The period of validity for take-off slots assigned by CEU (flow control centre):,is 15 minutes.,"depends on the type of flight (10 minutes for international flights, 5 minutes for domestic flights).",is 10 minutes.,is 5 minutes.,A,"The validity period for a take-off slot assigned by a Flow Control Center (such as the Central Flow Management Unit - CFMU) is exactly 15 minutes. This slot is defined as a window starting 5 minutes before the allocated slot time and ending 10 minutes after. The flight must be airborne within this window, or the slot is lost and a new one must be requested."
AirLaw,277,A flight plan shall be submitted prior to departure for a controlled flight at least:,60 minutes prior to departure.,10 minutes prior to departure.,30 minutes prior to leave the blocks.,50 minutes prior to leave the blocks.,A,"For any controlled flight, a flight plan must be submitted to the appropriate ATS unit at least 60 minutes prior to departure. If the flight plan is submitted in flight, it must be transmitted at least 10 minutes before the aircraft is estimated to reach the boundary of the controlled airspace. This advance submission allows ATC to process the route and coordinate clearances."
AirLaw,278,"If radio communication failure is experienced on an IFR flight in IMC, generally the pilot shall:",Try to get contact on other frequencies either ground or aircraft stations - Transmit being indicating important details required 2 times.,Land on the nearest suitable aerodrome and report the termination of the flight to ATC.,Try to get contact on other frequencies either ground or aircraft stations.,Transmit blind indicating details required at least 2 times.,A,"If a pilot on an IFR flight in instrument meteorological conditions (IMC) experiences a two-way radio failure, they must first attempt to establish contact on other available frequencies. If contact cannot be established, the pilot must transmit blind, indicating their position, intentions, and key details. These blind transmissions should be repeated at least twice on the primary and secondary frequencies."
AirLaw,279,"The pilot in command of an aircraft:1 - must comply immediately to all instructions received from ATC.2 - is responsible only if he is the """"pilot flying"""".3 - may deviate from air regulations for safety reasons.4 - may be exempt from air regulations in order to comply to an ATC instruction.5 - may ask for the modification of an unsatisfactory clearance.Which of the following combinations contains all of the correct statements?",05-Mar,2003-04-05,1 - 4,2002-03-05,A,"The pilot-in-command (PIC) has the final authority for the safety of the flight and can deviate from air regulations or ATC instructions if necessary to ensure safety. The PIC can also request the modification of an unsatisfactory clearance if they believe it is unsafe. However, they must comply with all other ATC clearances and are responsible for the flight regardless of whether they are the 'pilot flying' or 'pilot monitoring'."
AirLaw,280,A strayed aircraft is :,An aircraft which has deviated significantly from its intended track or which reports that it is lost,only that aircraft which has deviated significantly its intended track,only that aircraft which reports that it is lost,an aircraft in a given area but whose identity has not been established,A,"A strayed aircraft is defined as an aircraft that has deviated significantly from its intended track, or which reports that it is lost. ATS units must take immediate action to assist strayed aircraft by providing radar vectors, directional guidance, or relaying navigation information. A strayed aircraft becomes an 'unidentified aircraft' if its radar target is visible but identity is unknown."
AirLaw,281,"""""ESSENTIAL TRAFFIC"""" is that controlled flight to which the provision of separation by ATC is applicable, but which, in relation to a particular controlled flight is not separated therefore by the appropriate separation minima. Whenever separation minima is not applied. The following flights are considered essential traffic one to each other.",All IFR flight in controlled airspaces and controlled VFR.,Controlled VFR flights and VFR flights.,All IFR flights.,Only controlled IFR flights.,A,"Essential Traffic is defined as any controlled flight to which separation by ATC is applicable, but which is not separated from another controlled flight by the required minimum separation (e.g. when separation minima are not applied). This definition applies to all IFR flights in controlled airspace and all controlled VFR flights. ATC must provide essential traffic information to the affected pilots to ensure situational awareness."
AirLaw,282,"When, in air space where VFR are permitted, the pilot in command of an IFR flight wishes to continue his flight in accordance with visual flight rules, until the destination is reached:1 He must inform the control unit (""""cancel IFR"""")2 He must request and obtain clearance.3 He may request his IFR flight plan to be changed to a VFR flight plan.4 The flight plan automatically becomes a VFR flight plan.The correct combination of statements is:",1 and 4,2 and 4,2 and 3,1 and 3,A,"If the pilot of an IFR flight wishes to change to VFR en-route, they must explicitly notify the ATC unit to cancel the IFR flight plan (using the phrase 'Cancel IFR'). This action is voluntary and cannot be initiated by ATC. The IFR flight plan does not automatically change to VFR; the pilot must request the change and the flight plan will be updated."
AirLaw,283,A signalman will ask the pilot to apply parking brakes by the following signals:,"Raising arm and hand horizontally in front of body, fingers extended then clenching fist.","Arms down, palms facing inwards, moving arms from extended position inwards.",Crossing arms extended above his head.,"Horizontally moving hands, fingers extended, palms toward ground.",A,"To instruct a pilot to apply the parking brakes, a signalman raises their arm and hand horizontally in front of the body with fingers extended, and then clenches their fist. To signal to release the brakes, the signalman performs the opposite action: raising the clenched fist and then extending the fingers. The pilot must observe these signals carefully during ground handling."
AirLaw,284,"In the event of a delay of a controlled flight, the submitted flight plan should be amended or cancelled and a new flight plan submitted when the delay is:",30 minutes in excess of the estimated time off blocks.,30 minutes in excess of the estimated time of departure.,60 minutes in excess of the estimated time off blocks.,60 minutes in excess of the estimated time of departure.,A,"If a controlled flight is delayed, the pilot must amend or cancel the submitted flight plan if the delay exceeds 30 minutes of the estimated time off-blocks. This rule ensures that ATC has accurate time information for coordinating departures and en-route separations. If the delay is less than 30 minutes, no amendment is required unless specified locally."
AirLaw,285,Which is the content of section 2 of Air-Report (AIREP)?,"Estimated time of arrival (ETA), endurance.","Estimated elapse time (EET), endurance.","Present position, estimated time of arrival (ETA).","Estimated time over FIR boundary, endurance.",A,"Section 2 of a standard Air-Report (AIREP) contains the Estimated Time of Arrival (ETA) over the next reporting point and the aircraft's fuel endurance. Section 1 contains position information, and Section 3 contains meteorological observations such as wind, temperature, and turbulence. Pilots transmit AIREPs to provide en-route updates to ATC and meteorological services."
